Index Name,Currency,TickerType,Availability,RussellTick,Bloomberg,ReutersRIC
Russell 2000 - RGS Sub - Media,USD,Price,End of day,RUTMEDI,,.RUTMEDI
Russell 2000 - RGS Sub - Medical Equipment & Services,USD,Price,End of day,RUTMEDEQS,,.RUTMEDEQS
Russell 2000 - RGS Sub - Metals & Minerals,USD,Price,End of day,RUTMETMIN,,.RUTMETMIN
Russell 2000 - RGS Sub - Non-Renewable Energy,USD,Price,End of day,RUTNONREN,,.RUTNONREN
Russell 2000 - RGS Sub - Personal Care Drug & Grocery Stores,USD,Price,End of day,RUTPCDGS,,.RUTPCDGS
Russell 2000 - RGS Sub - Pharmaceuticals & Biotech,USD,Price,End of day,RUTPHABIO,,.RUTPHABIO
Russell 2000 - RGS Sub - Real Estate,USD,Price,End of day,RUTREALES,,.RUTREALES
Russell 2000 - RGS Sub - REIT ,USD,Price,End of day,RUTREITP,,.RUTREITP
Russell 2000 - RGS Sub - Retail,USD,Price,End of day,RUTRETAIL,,.RUTRETAIL
Russell 2000 - RGS Sub - Scientific Instruments & Services,USD,Price,End of day,RUTSCINSR,,.RUTSCINSR
Russell 2000 - RGS Sub - Telecommunication,USD,Price,End of day,RUTTELECM,,.RUTTELECM
Russell 2000 - RGS Sub - Transportation & Freight,USD,Price,End of day,RUTTRANSF,,.RUTTRANSF
Russell 2000 - RGS Sub - Utilities,USD,Price,End of day,RUTUTIL,,.RUTUTIL
Russell 2000 1.25x Daily Leveraged Index,USD,Total,End of day,R2LEV125,,.R2LEV125
Russell 2000 Defensive Index,USD,Price,End of day,RU2000DF,RU2000DF,.RU2000DF
Russell 2000 Defensive Index Total Return,USD,Total,End of day,RU2000DFTR,RU2DFTR,.RU2000DFTR
Russell 2000 Defensive Net,USD,Net,End of day,RU2DFNR,RU2DFNR,.RU2DFNR
Russell 2000 Defensive Net EUR,EUR,Net,End of day,RU2DFNRE,RU2DFNRE,.RU2DFNRE
Russell 2000 Dividend Growth Index,USD,Total,Real Time,R2DIVGRO,,.R2DIVGRO
Russell 2000 Dividend Growth Index,USD,Price,Real Time,R2DIVGRP,R2DIVGRP,.R2DIVGRP
Russell 2000 Dynamic Index,USD,Price,End of day,RU2000DY,RU2000DY,.RU2000DY
Russell 2000 Dynamic Index Total Return,USD,Total,End of day,RU2000DYTR,RU2DYTR,.RU2000DYTR
Russell 2000 Dynamic Net,USD,Net,End of day,RU2DYNR,RU2DYNR,.RU2DYNR
Russell 2000 Dynamic Net EUR,EUR,Net,End of day,RU2DYNRE,RU2DYNRE,.RU2DYNRE
Russell 2000 Equal Weight Index,USD,Price,Real Time,R2ESC,RUR2ESC,.R2ESC
Russell 2000 Equal Weight Total Return ,USD,Total,End of day,R2ESCTR,RU2ESCTR,.R2ESCTR
Russell 2000 Growth,USD,Price,Real Time,RUO,RUO,.RUO
Russell 2000 Growth Index EUR,EUR,Price,End of day,,RU20EUPG,
Russell 2000 Growth Index JPY,JPY,Price,End of day,,RUOZP,
Russell 2000 Growth Net Return,USD,Net,End of day,RUONET,RUOW,.RUONET
Russell 2000 Growth Net Return GBP,GBP,Net,End of day,RUONETP,,.RUONETP
Russell 2000 Growth Price - EOD,USD,Price,End of day,R2GPREOD,,.R2GPREOD
